experiment,stream,run_dir,requests,frame_exact_match,total_latency_p95_ms,weak_field_coverage,weak_field_accuracy,wrong_accepted_field_rate,l4_conflict_rate,full_l4_calls_per_100,residual_l4_calls_per_100,full_l4_tokens_per_100,residual_l4_tokens_per_100,serving_cost_per_100,audit_cost_per_100,correct_weak_fields_avoiding_full_l4_per_100,residual_l4_verified_fields_per_100,comparison_score,comparison_rank,l0_share,l1_share,l2_share,l3_share,l4_share,promoted_generations,promotion_attempts,promoted_with_layer_regression,bottleneck_codes,bottleneck_count,l1_benchmark_native_p95_us,l1_benchmark_throughput_qps
no-l2,zipf-heavy,runs/post-refactor-fixed-20260615-0954/cache-full/no-l2,3000,1.0,0.030793,0.510665,1.0,0.0,0.0,49.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.999692,1,0.509,0.0,0.0,0.0,0.491,6,6,0,,0,0.0,634.3393146015363
l2-global-student,zipf-heavy,runs/post-refactor-fixed-20260615-0954/cache-full/l2-global-student,3000,0.998,2.962275,0.514457,0.998464,0.00079,0.0,48.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.754577,2,0.509,0.0,0.004333,0.0,0.486667,6,6,0,weak_l2_guard_calibration,1,0.0,673.236274399014
no-audit,zipf-heavy,runs/post-refactor-fixed-20260615-0954/cache-full/no-audit,3000,0.998,2.805364,0.530416,0.99583,0.002212,0.001422,45.3,3.366667,0.0,0.0,0.0,0.0,3.066667,3.066667,97.713486,3,0.509,0.0,0.004333,0.0,0.486667,6,6,0,weak_l2_guard_calibration,1,0.0,497.8952915122578
main-evolution,zipf-heavy,runs/post-refactor-fixed-20260615-0954/cache-full/main-evolution,3000,0.998,2.951873,0.530416,0.99583,0.002212,0.001422,45.3,3.366667,0.0,0.0,0.0,0.0,3.066667,3.066667,97.712021,4,0.509,0.0,0.004333,0.0,0.486667,6,6,0,weak_l2_guard_calibration,1,0.0,638.2987997728138
l3-disabled,zipf-heavy,runs/post-refactor-fixed-20260615-0954/cache-full/l3-disabled,3000,0.998,3.000808,0.530416,0.99583,0.002212,0.001422,45.3,3.366667,0.0,0.0,0.0,0.0,3.066667,3.066667,97.711532,5,0.509,0.0,0.004333,0.0,0.486667,6,6,0,weak_l2_guard_calibration,1,0.0,610.3143119082089
l2-expert-bank,zipf-heavy,runs/post-refactor-fixed-20260615-0954/cache-full/l2-expert-bank,3000,0.998,3.031648,0.530416,0.99583,0.002212,0.001422,45.3,3.366667,0.0,0.0,0.0,0.0,3.066667,3.066667,97.711224,6,0.509,0.0,0.004333,0.0,0.486667,6,6,0,weak_l2_guard_calibration,1,0.0,658.0102914701557
workload-locality,zipf-heavy,runs/post-refactor-fixed-20260615-0954/cache-full/workload-locality/zipf-heavy,3000,0.998,3.081398,0.530416,0.99583,0.002212,0.001422,45.3,3.366667,0.0,0.0,0.0,0.0,3.066667,3.066667,97.710726,7,0.509,0.0,0.004333,0.0,0.486667,6,6,0,weak_l2_guard_calibration,1,0.0,775.4769518443371
workload-locality,zipf-mild,runs/post-refactor-fixed-20260615-0954/cache-full/workload-locality/zipf-mild,3000,0.999667,2.791627,0.124916,0.998661,0.000167,0.000167,86.666667,2.4,0.0,0.0,0.0,0.0,2.366667,2.366667,95.933774,8,0.109333,0.0,0.0,0.0,0.890667,1,2,0,"weak_l1_rule_coverage,weak_l2_guard_calibration",2,0.0,691.9660780304921
workload-locality,uniform,runs/post-refactor-fixed-20260615-0954/cache-full/workload-locality/uniform,3000,0.999667,4.060226,0.067158,0.997449,0.000171,0.000171,92.8,1.033333,0.0,0.0,0.0,0.0,1.0,1.0,95.920968,9,0.061667,0.0,0.0,0.0,0.938333,2,3,0,"weak_l1_rule_coverage,weak_l2_guard_calibration",2,0.0,252.04865444696347
l3-shadow,zipf-heavy,runs/post-refactor-fixed-20260615-0954/cache-full/l3-shadow,3000,0.998,1085.914987,0.448096,0.996121,0.001738,0.000948,54.266667,2.3,0.0,0.0,0.0,0.0,2.1,2.1,84.89661,10,0.43,0.0,0.004333,0.0,0.565667,5,5,0,"weak_l1_rule_coverage,weak_l2_guard_calibration",2,0.0,635.8311985173372
l3-guarded,zipf-heavy,runs/post-refactor-fixed-20260615-0954/cache-full/l3-guarded,3000,0.971,984.975993,0.562174,0.961495,0.021646,0.001422,43.0,2.766667,0.0,0.0,0.0,0.0,2.466667,2.466667,84.8031,11,0.509,0.0,0.004333,0.029,0.457667,6,6,0,weak_l2_guard_calibration,1,0.0,660.6560999272937
no-guard,zipf-heavy,runs/post-refactor-fixed-20260615-0954/cache-full/no-guard,3000,0.743667,2.846834,0.817191,0.806845,0.157845,0.001422,16.666667,3.366667,0.0,0.0,0.0,0.0,3.066667,3.066667,69.167112,12,0.509,0.0,0.290667,0.0,0.200333,6,6,0,weak_l2_guard_calibration,1,0.0,625.6849813924905
