scope,generation,layer,metric,value
run,,,requests,3000
current_manifest,6,,artifact_set_id,gen_006_candidate
run,,L0,chosen_count,1527
run,,L0,chosen_share,0.509
run,,L1,chosen_count,0
run,,L1,chosen_share,0.0
run,,L2,chosen_count,13
run,,L2,chosen_share,0.004333
run,,L3,chosen_count,87
run,,L3,chosen_share,0.029
run,,L4,chosen_count,1373
run,,L4,chosen_share,0.457667
layer_summary,,L0,coverage,0.509
layer_summary,,L0,accepted_accuracy,1.0
layer_summary,,L0,wrong_accept_rate,0.0
layer_summary,,L0,forced_global_accuracy,0.509
layer_summary,,L0,p50_ms,0.002
layer_summary,,L0,p95_ms,0.006086
layer_summary,,L0,cost_usd_per_100_requests,0.0
layer_summary,,L1,coverage,0.0
layer_summary,,L1,accepted_accuracy,
layer_summary,,L1,wrong_accept_rate,0.0
layer_summary,,L1,forced_global_accuracy,0.0
layer_summary,,L1,p50_ms,0.096542
layer_summary,,L1,p95_ms,0.110442
layer_summary,,L1,cost_usd_per_100_requests,0.0
layer_summary,,L2,coverage,0.004333
layer_summary,,L2,accepted_accuracy,0.538462
layer_summary,,L2,wrong_accept_rate,0.002
layer_summary,,L2,forced_global_accuracy,0.002333
layer_summary,,L2,p50_ms,2.445833
layer_summary,,L2,p95_ms,3.325967
layer_summary,,L2,cost_usd_per_100_requests,0.0
layer_summary,,L3,coverage,0.029
layer_summary,,L3,accepted_accuracy,0.068966
layer_summary,,L3,wrong_accept_rate,0.027
layer_summary,,L3,forced_global_accuracy,0.002
layer_summary,,L3,p50_ms,800.176938
layer_summary,,L3,p95_ms,1043.752573
layer_summary,,L3,cost_usd_per_100_requests,0.0
layer_summary,,L4,coverage,0.457667
layer_summary,,L4,accepted_accuracy,1.0
layer_summary,,L4,wrong_accept_rate,0.0
layer_summary,,L4,forced_global_accuracy,0.43
layer_summary,,L4,p50_ms,0.005084
layer_summary,,L4,p95_ms,0.016517
layer_summary,,L4,cost_usd_per_100_requests,0.0
field_summary,,,total_expected_fields,6329.0
field_summary,,,weak_accepted_fields,3558.0
field_summary,,,weak_correct_fields,3421.0
field_summary,,,weak_wrong_fields,137.0
field_summary,,,weak_field_coverage,0.562174
field_summary,,,weak_field_accuracy,0.961495
field_summary,,,wrong_accepted_field_rate,0.021646
field_summary,,,l4_field_conflicts,9.0
field_summary,,,l4_conflict_rate,0.001422
field_summary,,,correct_weak_fields_avoiding_full_l4,74.0
field_summary,,,correct_weak_fields_avoiding_full_l4_per_100,2.466667
field_summary,,,residual_l4_verified_fields,74.0
field_summary,,,residual_l4_verified_fields_per_100,2.466667
field_summary,,L0,accepted,3232.0
field_summary,,L0,correct,3232.0
field_summary,,L0,wrong,0.0
field_summary,,L0,accuracy,1.0
field_summary,,L0,wrong_rate,0.0
field_summary,,L1,accepted,0.0
field_summary,,L1,correct,0.0
field_summary,,L1,wrong,0.0
field_summary,,L1,accuracy,1.0
field_summary,,L1,wrong_rate,0.0
field_summary,,L2,accepted,125.0
field_summary,,L2,correct,111.0
field_summary,,L2,wrong,14.0
field_summary,,L2,accuracy,0.888
field_summary,,L2,wrong_rate,0.002212
field_summary,,L3,accepted,201.0
field_summary,,L3,correct,78.0
field_summary,,L3,wrong,123.0
field_summary,,L3,accuracy,0.38806
field_summary,,L3,wrong_rate,0.019434
field_summary,,L4,accepted,2801.0
field_summary,,L4,correct,2801.0
field_summary,,L4,wrong,0.0
field_summary,,L4,accuracy,1.0
field_summary,,L4,wrong_rate,0.0
cost_summary,,serving_full_l4,calls,1290.0
cost_summary,,serving_full_l4,tokens,0.0
cost_summary,,serving_full_l4,cost_usd,0.0
cost_summary,,serving_full_l4,calls_per_100,43.0
cost_summary,,serving_full_l4,tokens_per_100,0.0
cost_summary,,serving_full_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_full_l4,p95_ms,0.014398
cost_summary,,serving_residual_l4,calls,83.0
cost_summary,,serving_residual_l4,tokens,0.0
cost_summary,,serving_residual_l4,cost_usd,0.0
cost_summary,,serving_residual_l4,calls_per_100,2.766667
cost_summary,,serving_residual_l4,tokens_per_100,0.0
cost_summary,,serving_residual_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_residual_l4,p95_ms,0.029725
cost_summary,,audit_l4,calls,1627.0
cost_summary,,audit_l4,tokens,0.0
cost_summary,,audit_l4,cost_usd,0.0
cost_summary,,audit_l4,calls_per_100,54.233333
cost_summary,,audit_l4,tokens_per_100,0.0
cost_summary,,audit_l4,cost_usd_per_100_requests,0.0
cost_summary,,audit_l4,p95_ms,0.0
cost_summary,,teacher_labeling_l4,calls,0.0
cost_summary,,teacher_labeling_l4,tokens,0.0
cost_summary,,teacher_labeling_l4,cost_usd,0.0
cost_summary,,teacher_labeling_l4,calls_per_100,0.0
cost_summary,,teacher_labeling_l4,tokens_per_100,0.0
cost_summary,,teacher_labeling_l4,cost_usd_per_100_requests,0.0
cost_summary,,teacher_labeling_l4,p95_ms,0.0
cost_summary,,,serving_fields_avoided,83.0
evolution_summary,1,,serving_full_l4_calls_per_100,34.741784
evolution_summary,1,,serving_residual_l4_calls_per_100,5.164319
evolution_summary,1,,l4_calls_per_100,39.906103
evolution_summary,1,,cost_usd_per_100_requests,0.380282
evolution_summary,1,,p95_latency_ms,900.0
evolution_summary,1,,frame_exact_match,0.976526
evolution_summary,1,,l0_share,0.577465
evolution_summary,1,,l1_share,0.0
evolution_summary,1,,l2_share,0.0
evolution_summary,1,,l3_share,0.023474
evolution_summary,1,,l4_share,0.399061
evolution_summary,2,,serving_full_l4_calls_per_100,27.5
evolution_summary,2,,serving_residual_l4_calls_per_100,2.5
evolution_summary,2,,l4_calls_per_100,30.0
evolution_summary,2,,cost_usd_per_100_requests,0.286643
evolution_summary,2,,p95_latency_ms,900.0
evolution_summary,2,,frame_exact_match,0.985714
evolution_summary,2,,l0_share,0.671429
evolution_summary,2,,l1_share,0.0
evolution_summary,2,,l2_share,0.007143
evolution_summary,2,,l3_share,0.021429
evolution_summary,2,,l4_share,0.3
evolution_summary,3,,serving_full_l4_calls_per_100,26.056338
evolution_summary,3,,serving_residual_l4_calls_per_100,2.464789
evolution_summary,3,,l4_calls_per_100,28.521127
evolution_summary,3,,cost_usd_per_100_requests,0.274648
evolution_summary,3,,p95_latency_ms,900.0
evolution_summary,3,,frame_exact_match,0.975352
evolution_summary,3,,l0_share,0.690141
evolution_summary,3,,l1_share,0.0
evolution_summary,3,,l2_share,0.0
evolution_summary,3,,l3_share,0.024648
evolution_summary,3,,l4_share,0.285211
evolution_summary,4,,serving_full_l4_calls_per_100,20.833333
evolution_summary,4,,serving_residual_l4_calls_per_100,2.777778
evolution_summary,4,,l4_calls_per_100,23.611111
evolution_summary,4,,cost_usd_per_100_requests,0.224554
evolution_summary,4,,p95_latency_ms,900.0
evolution_summary,4,,frame_exact_match,0.979167
evolution_summary,4,,l0_share,0.743056
evolution_summary,4,,l1_share,0.0
evolution_summary,4,,l2_share,0.003472
evolution_summary,4,,l3_share,0.017361
evolution_summary,4,,l4_share,0.236111
evolution_summary,5,,serving_full_l4_calls_per_100,19.601329
evolution_summary,5,,serving_residual_l4_calls_per_100,1.66113
evolution_summary,5,,l4_calls_per_100,21.262458
evolution_summary,5,,cost_usd_per_100_requests,0.205166
evolution_summary,5,,p95_latency_ms,900.0
evolution_summary,5,,frame_exact_match,0.990033
evolution_summary,5,,l0_share,0.770764
evolution_summary,5,,l1_share,0.0
evolution_summary,5,,l2_share,0.003322
evolution_summary,5,,l3_share,0.013289
evolution_summary,5,,l4_share,0.212625
evolution_summary,6,,serving_full_l4_calls_per_100,16.442953
evolution_summary,6,,serving_residual_l4_calls_per_100,1.677852
evolution_summary,6,,l4_calls_per_100,18.120805
evolution_summary,6,,cost_usd_per_100_requests,0.174497
evolution_summary,6,,p95_latency_ms,900.0
evolution_summary,6,,frame_exact_match,0.983221
evolution_summary,6,,l0_share,0.802013
evolution_summary,6,,l1_share,0.0
evolution_summary,6,,l2_share,0.0
evolution_summary,6,,l3_share,0.016779
evolution_summary,6,,l4_share,0.181208
gold_eval,,,frame_exact_match,0.971
latency,,L0,p50_ms,0.002
latency,,L0,p95_ms,0.006086
latency,,L1,p50_ms,0.096542
latency,,L1,p95_ms,0.110442
latency,,L2,p50_ms,2.445833
latency,,L2,p95_ms,3.325967
latency,,L3,p50_ms,800.176938
latency,,L3,p95_ms,1043.752573
latency,,L4,p50_ms,0.005084
latency,,L4,p95_ms,0.016517
l2_unguarded,,L2,evaluated,872
l2_unguarded,,L2,labeled,872
l2_unguarded,,L2,correct,103
l2_unguarded,,L2,wrong,769
l2_unguarded,,L2,runtime_accepted,13
l2_unguarded,,L2,unguarded_accuracy,0.11811926605504587
l2_unguarded,,L2,unguarded_wrong_rate,0.8818807339449541
l2_unguarded,,L2,runtime_accept_rate,0.014908256880733946
l2_unguarded,,L2,p50_ms,2.62781250057742
l2_unguarded,,L2,p95_ms,3.3429809263907373
l2_unguarded,,L2,guard_probability_p50,0.04333514049554203
l2_unguarded,,L2,guard_probability_p95,0.5178389107291694
l2_unguarded,,L2,nearest_similarity_p50,0.5015327550737112
l2_unguarded,,L2,nearest_similarity_p95,0.8141910983364085
l2_unguarded,,L2,predicted_intent_similarity_p50,0.4872464648582943
l2_unguarded,,L2,predicted_intent_similarity_p95,0.8141910983364085
l2_unguarded,,L2,intent_support_margin_p50,0.17140840820271902
l2_unguarded,,L2,intent_support_margin_p95,0.5521396190148329
l2_unguarded,,L2,slot_invalid_bio,255
l1_native,,L1,native_latency_p50_us,0.0
l1_native,,L1,native_latency_p95_us,0.0
l1_program_path,,L1,abstain,1473
l1_benchmark,,L1,status,success
l1_benchmark,,L1,requests,128
l1_benchmark,,L1,accepted,0
l1_benchmark,,L1,accepted_share,0.0
l1_benchmark,,L1,integration_avg_ms,1.5098411513463361
l1_benchmark,,L1,integration_p50_ms,0.04718697164207697
l1_benchmark,,L1,integration_p95_ms,0.06757720839232208
l1_benchmark,,L1,native_avg_us,0.0
l1_benchmark,,L1,native_p50_us,0.0
l1_benchmark,,L1,native_p95_us,0.0
l1_benchmark,,L1,native_max_us,0
l1_benchmark,,L1,throughput_qps,660.6560999272937
l1_benchmark,,L1,source_size_bytes,6430
l1_benchmark,,L1,binary_size_bytes,992184
l1_benchmark_path,,L1,abstain,128
l3_observation,,L3,trace_results,1460
l3_observation,,L3,chosen_as_final,87
l3_observation,,L3,failure_rate,0.012329
l3_observation,,L3,parse_failure_rate,0.012329
l3_observation,,L3,repair_rate,0.334247
l3_observation,,L3,would_accept_count,87
l3_observation,,L3,would_accept_accuracy,0.068966
l3_observation,,L3,guarded_accepted_accuracy,0.068966
l3_observation,,L3,generation_p50_ms,800.176938
l3_observation,,L3,generation_p95_ms,1043.752573
l3_observation,,L3,model_load_time_p95_ms,3029.54
promotion,1,,promoted,True
promotion,1,,promoted_with_layer_regression,False
current_objective,1,,artifact_complexity,1.0
current_objective,1,,correct_weak_fields_avoiding_full_l4_per_100,0.0
current_objective,1,,cost_usd_per_100_requests,0.929577464788733
current_objective,1,,frame_exact_match,0.9295774647887324
current_objective,1,,full_l4_calls_per_100_requests,92.95774647887323
current_objective,1,,l4_conflict_rate,0.0
current_objective,1,,p95_latency_ms,900.0
current_objective,1,,residual_l4_calls_per_100_requests,0.0
current_objective,1,,residual_l4_verified_fields_per_100,0.0
current_objective,1,,wrong_accept_rate,0.07042253521126761
current_objective,1,,wrong_accepted_field_rate,0.05309734513274336
candidate_objective,1,,artifact_complexity,18.362291495737217
candidate_objective,1,,correct_weak_fields_avoiding_full_l4_per_100,3.755868544600939
candidate_objective,1,,cost_usd_per_100_requests,0.38028169014084534
candidate_objective,1,,frame_exact_match,0.9765258215962441
candidate_objective,1,,full_l4_calls_per_100_requests,34.74178403755869
candidate_objective,1,,l4_conflict_rate,0.00663716814159292
candidate_objective,1,,p95_latency_ms,900.0
candidate_objective,1,,residual_l4_calls_per_100_requests,5.164319248826291
candidate_objective,1,,residual_l4_verified_fields_per_100,3.755868544600939
candidate_objective,1,,wrong_accept_rate,0.023474178403755867
candidate_objective,1,,wrong_accepted_field_rate,0.024336283185840708
layer_delta,1,L0,accepted_accuracy_delta,0.0
layer_delta,1,L0,cost_delta,0.0
layer_delta,1,L0,coverage_delta,0.5774647887323944
layer_delta,1,L0,layer_share_delta,0.5774647887323944
layer_delta,1,L0,p95_latency_ms_delta,0.1
layer_delta,1,L0,wrong_accept_delta,0.0
layer_delta,1,L1,accepted_accuracy_delta,0.0
layer_delta,1,L1,cost_delta,0.0
layer_delta,1,L1,coverage_delta,0.0
layer_delta,1,L1,layer_share_delta,0.0
layer_delta,1,L1,p95_latency_ms_delta,0.0
layer_delta,1,L1,wrong_accept_delta,0.0
layer_delta,1,L2,accepted_accuracy_delta,0.0
layer_delta,1,L2,cost_delta,0.0
layer_delta,1,L2,coverage_delta,0.0
