scope,generation,layer,metric,value
run,,,requests,3000
current_manifest,5,,artifact_set_id,gen_005_candidate
run,,L0,chosen_count,1290
run,,L0,chosen_share,0.43
run,,L1,chosen_count,0
run,,L1,chosen_share,0.0
run,,L2,chosen_count,13
run,,L2,chosen_share,0.004333
run,,L3,chosen_count,0
run,,L3,chosen_share,0.0
run,,L4,chosen_count,1697
run,,L4,chosen_share,0.565667
layer_summary,,L0,coverage,0.43
layer_summary,,L0,accepted_accuracy,1.0
layer_summary,,L0,wrong_accept_rate,0.0
layer_summary,,L0,forced_global_accuracy,0.43
layer_summary,,L0,p50_ms,0.002125
layer_summary,,L0,p95_ms,0.004375
layer_summary,,L0,cost_usd_per_100_requests,0.0
layer_summary,,L1,coverage,0.0
layer_summary,,L1,accepted_accuracy,
layer_summary,,L1,wrong_accept_rate,0.0
layer_summary,,L1,forced_global_accuracy,0.0
layer_summary,,L1,p50_ms,0.09873
layer_summary,,L1,p95_ms,0.122914
layer_summary,,L1,cost_usd_per_100_requests,0.0
layer_summary,,L2,coverage,0.004333
layer_summary,,L2,accepted_accuracy,0.538462
layer_summary,,L2,wrong_accept_rate,0.002
layer_summary,,L2,forced_global_accuracy,0.002333
layer_summary,,L2,p50_ms,2.915416
layer_summary,,L2,p95_ms,3.588085
layer_summary,,L2,cost_usd_per_100_requests,0.0
layer_summary,,L3,coverage,0.0
layer_summary,,L3,accepted_accuracy,
layer_summary,,L3,wrong_accept_rate,0.0
layer_summary,,L3,forced_global_accuracy,0.0
layer_summary,,L3,p50_ms,838.5395
layer_summary,,L3,p95_ms,1121.401833
layer_summary,,L3,cost_usd_per_100_requests,0.0
layer_summary,,L4,coverage,0.565667
layer_summary,,L4,accepted_accuracy,1.0
layer_summary,,L4,wrong_accept_rate,0.0
layer_summary,,L4,forced_global_accuracy,0.542667
layer_summary,,L4,p50_ms,0.006917
layer_summary,,L4,p95_ms,0.020917
layer_summary,,L4,cost_usd_per_100_requests,0.0
field_summary,,,total_expected_fields,6329.0
field_summary,,,weak_accepted_fields,2836.0
field_summary,,,weak_correct_fields,2825.0
field_summary,,,weak_wrong_fields,11.0
field_summary,,,weak_field_coverage,0.448096
field_summary,,,weak_field_accuracy,0.996121
field_summary,,,wrong_accepted_field_rate,0.001738
field_summary,,,l4_field_conflicts,6.0
field_summary,,,l4_conflict_rate,0.000948
field_summary,,,correct_weak_fields_avoiding_full_l4,63.0
field_summary,,,correct_weak_fields_avoiding_full_l4_per_100,2.1
field_summary,,,residual_l4_verified_fields,63.0
field_summary,,,residual_l4_verified_fields_per_100,2.1
field_summary,,L0,accepted,2743.0
field_summary,,L0,correct,2743.0
field_summary,,L0,wrong,0.0
field_summary,,L0,accuracy,1.0
field_summary,,L0,wrong_rate,0.0
field_summary,,L1,accepted,0.0
field_summary,,L1,correct,0.0
field_summary,,L1,wrong,0.0
field_summary,,L1,accuracy,1.0
field_summary,,L1,wrong_rate,0.0
field_summary,,L2,accepted,93.0
field_summary,,L2,correct,82.0
field_summary,,L2,wrong,11.0
field_summary,,L2,accuracy,0.88172
field_summary,,L2,wrong_rate,0.001738
field_summary,,L3,accepted,0.0
field_summary,,L3,correct,0.0
field_summary,,L3,wrong,0.0
field_summary,,L3,accuracy,1.0
field_summary,,L3,wrong_rate,0.0
field_summary,,L4,accepted,3498.0
field_summary,,L4,correct,3498.0
field_summary,,L4,wrong,0.0
field_summary,,L4,accuracy,1.0
field_summary,,L4,wrong_rate,0.0
cost_summary,,serving_full_l4,calls,1628.0
cost_summary,,serving_full_l4,tokens,0.0
cost_summary,,serving_full_l4,cost_usd,0.0
cost_summary,,serving_full_l4,calls_per_100,54.266667
cost_summary,,serving_full_l4,tokens_per_100,0.0
cost_summary,,serving_full_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_full_l4,p95_ms,0.01986
cost_summary,,serving_residual_l4,calls,69.0
cost_summary,,serving_residual_l4,tokens,0.0
cost_summary,,serving_residual_l4,cost_usd,0.0
cost_summary,,serving_residual_l4,calls_per_100,2.3
cost_summary,,serving_residual_l4,tokens_per_100,0.0
cost_summary,,serving_residual_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_residual_l4,p95_ms,0.03355
