scope,generation,layer,metric,value
run,,,requests,3000
current_manifest,2,,artifact_set_id,gen_002_candidate
run,,L0,chosen_count,185
run,,L0,chosen_share,0.061667
run,,L1,chosen_count,0
run,,L1,chosen_share,0.0
run,,L2,chosen_count,0
run,,L2,chosen_share,0.0
run,,L3,chosen_count,0
run,,L3,chosen_share,0.0
run,,L4,chosen_count,2815
run,,L4,chosen_share,0.938333
layer_summary,,L0,coverage,0.061667
layer_summary,,L0,accepted_accuracy,1.0
layer_summary,,L0,wrong_accept_rate,0.0
layer_summary,,L0,forced_global_accuracy,0.061667
layer_summary,,L0,p50_ms,0.001709
layer_summary,,L0,p95_ms,0.0035
layer_summary,,L0,cost_usd_per_100_requests,0.0
layer_summary,,L1,coverage,0.0
layer_summary,,L1,accepted_accuracy,
layer_summary,,L1,wrong_accept_rate,0.0
layer_summary,,L1,forced_global_accuracy,0.0
layer_summary,,L1,p50_ms,0.032042
layer_summary,,L1,p95_ms,0.071054
layer_summary,,L1,cost_usd_per_100_requests,0.0
layer_summary,,L2,coverage,0.0
layer_summary,,L2,accepted_accuracy,
layer_summary,,L2,wrong_accept_rate,0.0
layer_summary,,L2,forced_global_accuracy,0.0
layer_summary,,L2,p50_ms,3.17475
layer_summary,,L2,p95_ms,4.16875
layer_summary,,L2,cost_usd_per_100_requests,0.0
layer_summary,,L3,coverage,0.0
layer_summary,,L3,accepted_accuracy,
layer_summary,,L3,wrong_accept_rate,0.0
layer_summary,,L3,forced_global_accuracy,0.0
layer_summary,,L3,p50_ms,0.0
layer_summary,,L3,p95_ms,0.0
layer_summary,,L3,cost_usd_per_100_requests,0.0
layer_summary,,L4,coverage,0.938333
layer_summary,,L4,accepted_accuracy,0.999645
layer_summary,,L4,wrong_accept_rate,0.000333
layer_summary,,L4,forced_global_accuracy,0.927667
layer_summary,,L4,p50_ms,0.002375
layer_summary,,L4,p95_ms,0.007709
layer_summary,,L4,cost_usd_per_100_requests,0.0
field_summary,,,total_expected_fields,5837.0
field_summary,,,weak_accepted_fields,392.0
field_summary,,,weak_correct_fields,391.0
field_summary,,,weak_wrong_fields,1.0
field_summary,,,weak_field_coverage,0.067158
field_summary,,,weak_field_accuracy,0.997449
field_summary,,,wrong_accepted_field_rate,0.000171
field_summary,,,l4_field_conflicts,1.0
field_summary,,,l4_conflict_rate,0.000171
field_summary,,,correct_weak_fields_avoiding_full_l4,30.0
field_summary,,,correct_weak_fields_avoiding_full_l4_per_100,1.0
field_summary,,,residual_l4_verified_fields,30.0
field_summary,,,residual_l4_verified_fields_per_100,1.0
field_summary,,L0,accepted,361.0
field_summary,,L0,correct,361.0
field_summary,,L0,wrong,0.0
field_summary,,L0,accuracy,1.0
field_summary,,L0,wrong_rate,0.0
field_summary,,L1,accepted,0.0
field_summary,,L1,correct,0.0
field_summary,,L1,wrong,0.0
field_summary,,L1,accuracy,1.0
field_summary,,L1,wrong_rate,0.0
field_summary,,L2,accepted,31.0
field_summary,,L2,correct,30.0
field_summary,,L2,wrong,1.0
field_summary,,L2,accuracy,0.967742
field_summary,,L2,wrong_rate,0.000171
field_summary,,L3,accepted,0.0
field_summary,,L3,correct,0.0
field_summary,,L3,wrong,0.0
field_summary,,L3,accuracy,1.0
field_summary,,L3,wrong_rate,0.0
field_summary,,L4,accepted,5446.0
field_summary,,L4,correct,5445.0
field_summary,,L4,wrong,1.0
field_summary,,L4,accuracy,0.999816
field_summary,,L4,wrong_rate,0.000171
cost_summary,,serving_full_l4,calls,2784.0
cost_summary,,serving_full_l4,tokens,0.0
cost_summary,,serving_full_l4,cost_usd,0.0
cost_summary,,serving_full_l4,calls_per_100,92.8
cost_summary,,serving_full_l4,tokens_per_100,0.0
cost_summary,,serving_full_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_full_l4,p95_ms,0.006958
cost_summary,,serving_residual_l4,calls,31.0
cost_summary,,serving_residual_l4,tokens,0.0
cost_summary,,serving_residual_l4,cost_usd,0.0
cost_summary,,serving_residual_l4,calls_per_100,1.033333
cost_summary,,serving_residual_l4,tokens_per_100,0.0
cost_summary,,serving_residual_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_residual_l4,p95_ms,0.018063
cost_summary,,audit_l4,calls,185.0
cost_summary,,audit_l4,tokens,0.0
cost_summary,,audit_l4,cost_usd,0.0
cost_summary,,audit_l4,calls_per_100,6.166667
cost_summary,,audit_l4,tokens_per_100,0.0
cost_summary,,audit_l4,cost_usd_per_100_requests,0.0
cost_summary,,audit_l4,p95_ms,0.0
cost_summary,,teacher_labeling_l4,calls,0.0
cost_summary,,teacher_labeling_l4,tokens,0.0
cost_summary,,teacher_labeling_l4,cost_usd,0.0
cost_summary,,teacher_labeling_l4,calls_per_100,0.0
cost_summary,,teacher_labeling_l4,tokens_per_100,0.0
cost_summary,,teacher_labeling_l4,cost_usd_per_100_requests,0.0
cost_summary,,teacher_labeling_l4,p95_ms,0.0
cost_summary,,,serving_fields_avoided,31.0
evolution_summary,1,,serving_full_l4_calls_per_100,68.668407
evolution_summary,1,,serving_residual_l4_calls_per_100,0.261097
