scope,generation,layer,metric,value
run,,,requests,3000
current_manifest,1,,artifact_set_id,gen_001_candidate
run,,L0,chosen_count,328
run,,L0,chosen_share,0.109333
run,,L1,chosen_count,0
run,,L1,chosen_share,0.0
run,,L2,chosen_count,0
run,,L2,chosen_share,0.0
run,,L3,chosen_count,0
run,,L3,chosen_share,0.0
run,,L4,chosen_count,2672
run,,L4,chosen_share,0.890667
layer_summary,,L0,coverage,0.109333
layer_summary,,L0,accepted_accuracy,1.0
layer_summary,,L0,wrong_accept_rate,0.0
layer_summary,,L0,forced_global_accuracy,0.109333
layer_summary,,L0,p50_ms,0.001833
layer_summary,,L0,p95_ms,0.003958
layer_summary,,L0,cost_usd_per_100_requests,0.0
layer_summary,,L1,coverage,0.0
layer_summary,,L1,accepted_accuracy,
layer_summary,,L1,wrong_accept_rate,0.0
layer_summary,,L1,forced_global_accuracy,0.0
layer_summary,,L1,p50_ms,0.0345
layer_summary,,L1,p95_ms,0.072894
layer_summary,,L1,cost_usd_per_100_requests,0.0
layer_summary,,L2,coverage,0.0
layer_summary,,L2,accepted_accuracy,
layer_summary,,L2,wrong_accept_rate,0.0
layer_summary,,L2,forced_global_accuracy,0.0
layer_summary,,L2,p50_ms,2.309375
layer_summary,,L2,p95_ms,2.869667
layer_summary,,L2,cost_usd_per_100_requests,0.0
layer_summary,,L3,coverage,0.0
layer_summary,,L3,accepted_accuracy,
layer_summary,,L3,wrong_accept_rate,0.0
layer_summary,,L3,forced_global_accuracy,0.0
layer_summary,,L3,p50_ms,0.0
layer_summary,,L3,p95_ms,0.0
layer_summary,,L3,cost_usd_per_100_requests,0.0
layer_summary,,L4,coverage,0.890667
layer_summary,,L4,accepted_accuracy,0.999626
layer_summary,,L4,wrong_accept_rate,0.000333
layer_summary,,L4,forced_global_accuracy,0.866333
layer_summary,,L4,p50_ms,0.002333
layer_summary,,L4,p95_ms,0.010833
layer_summary,,L4,cost_usd_per_100_requests,0.0
field_summary,,,total_expected_fields,5980.0
field_summary,,,weak_accepted_fields,747.0
field_summary,,,weak_correct_fields,746.0
field_summary,,,weak_wrong_fields,1.0
field_summary,,,weak_field_coverage,0.124916
field_summary,,,weak_field_accuracy,0.998661
field_summary,,,wrong_accepted_field_rate,0.000167
field_summary,,,l4_field_conflicts,1.0
field_summary,,,l4_conflict_rate,0.000167
field_summary,,,correct_weak_fields_avoiding_full_l4,71.0
field_summary,,,correct_weak_fields_avoiding_full_l4_per_100,2.366667
field_summary,,,residual_l4_verified_fields,71.0
field_summary,,,residual_l4_verified_fields_per_100,2.366667
field_summary,,L0,accepted,675.0
field_summary,,L0,correct,675.0
field_summary,,L0,wrong,0.0
field_summary,,L0,accuracy,1.0
field_summary,,L0,wrong_rate,0.0
field_summary,,L1,accepted,0.0
field_summary,,L1,correct,0.0
field_summary,,L1,wrong,0.0
field_summary,,L1,accuracy,1.0
field_summary,,L1,wrong_rate,0.0
field_summary,,L2,accepted,72.0
field_summary,,L2,correct,71.0
field_summary,,L2,wrong,1.0
field_summary,,L2,accuracy,0.986111
field_summary,,L2,wrong_rate,0.000167
field_summary,,L3,accepted,0.0
field_summary,,L3,correct,0.0
field_summary,,L3,wrong,0.0
field_summary,,L3,accuracy,1.0
field_summary,,L3,wrong_rate,0.0
field_summary,,L4,accepted,5234.0
field_summary,,L4,correct,5233.0
field_summary,,L4,wrong,1.0
field_summary,,L4,accuracy,0.999809
field_summary,,L4,wrong_rate,0.000167
cost_summary,,serving_full_l4,calls,2600.0
cost_summary,,serving_full_l4,tokens,0.0
cost_summary,,serving_full_l4,cost_usd,0.0
cost_summary,,serving_full_l4,calls_per_100,86.666667
cost_summary,,serving_full_l4,tokens_per_100,0.0
cost_summary,,serving_full_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_full_l4,p95_ms,0.00796
cost_summary,,serving_residual_l4,calls,72.0
cost_summary,,serving_residual_l4,tokens,0.0
cost_summary,,serving_residual_l4,cost_usd,0.0
cost_summary,,serving_residual_l4,calls_per_100,2.4
cost_summary,,serving_residual_l4,tokens_per_100,0.0
cost_summary,,serving_residual_l4,cost_usd_per_100_requests,0.0
cost_summary,,serving_residual_l4,p95_ms,0.022815
cost_summary,,audit_l4,calls,328.0
cost_summary,,audit_l4,tokens,0.0
cost_summary,,audit_l4,cost_usd,0.0
cost_summary,,audit_l4,calls_per_100,10.933333
cost_summary,,audit_l4,tokens_per_100,0.0
cost_summary,,audit_l4,cost_usd_per_100_requests,0.0
cost_summary,,audit_l4,p95_ms,0.0
cost_summary,,teacher_labeling_l4,calls,0.0
cost_summary,,teacher_labeling_l4,tokens,0.0
cost_summary,,teacher_labeling_l4,cost_usd,0.0
cost_summary,,teacher_labeling_l4,calls_per_100,0.0
cost_summary,,teacher_labeling_l4,tokens_per_100,0.0
cost_summary,,teacher_labeling_l4,cost_usd_per_100_requests,0.0
cost_summary,,teacher_labeling_l4,p95_ms,0.0
cost_summary,,,serving_fields_avoided,72.0
evolution_summary,1,,serving_full_l4_calls_per_100,59.681698
evolution_summary,1,,serving_residual_l4_calls_per_100,2.65252
evolution_summary,1,,l4_calls_per_100,62.334218
evolution_summary,1,,cost_usd_per_100_requests,0.61008
evolution_summary,1,,p95_latency_ms,900.0
evolution_summary,1,,frame_exact_match,1.0
evolution_summary,1,,l0_share,0.376658
evolution_summary,1,,l1_share,0.0
evolution_summary,1,,l2_share,0.0
evolution_summary,1,,l3_share,0.0
evolution_summary,1,,l4_share,0.623342
evolution_summary,2,,serving_full_l4_calls_per_100,39.037433
evolution_summary,2,,serving_residual_l4_calls_per_100,5.882353
evolution_summary,2,,l4_calls_per_100,44.919786
evolution_summary,2,,cost_usd_per_100_requests,0.416248
evolution_summary,2,,p95_latency_ms,900.0
evolution_summary,2,,frame_exact_match,0.994652
evolution_summary,2,,l0_share,0.545455
evolution_summary,2,,l1_share,0.0
evolution_summary,2,,l2_share,0.005348
evolution_summary,2,,l3_share,0.0
evolution_summary,2,,l4_share,0.449198
gold_eval,,,frame_exact_match,0.999667
latency,,L0,p50_ms,0.001833
latency,,L0,p95_ms,0.003958
latency,,L1,p50_ms,0.0345
latency,,L1,p95_ms,0.072894
latency,,L2,p50_ms,2.309375
latency,,L2,p95_ms,2.869667
latency,,L3,p50_ms,0.0
latency,,L3,p95_ms,0.0
latency,,L4,p50_ms,0.002333
latency,,L4,p95_ms,0.010833
l2_unguarded,,L2,evaluated,1600
l2_unguarded,,L2,labeled,1600
l2_unguarded,,L2,correct,306
l2_unguarded,,L2,wrong,1294
l2_unguarded,,L2,runtime_accepted,0
l2_unguarded,,L2,unguarded_accuracy,0.19125
l2_unguarded,,L2,unguarded_wrong_rate,0.80875
l2_unguarded,,L2,runtime_accept_rate,0.0
l2_unguarded,,L2,p50_ms,2.3207709309644997
l2_unguarded,,L2,p95_ms,2.8802895918488503
l2_unguarded,,L2,guard_probability_p50,0.07825859916491368
l2_unguarded,,L2,guard_probability_p95,0.6956319998614503
l2_unguarded,,L2,nearest_similarity_p50,0.4496625477758853
l2_unguarded,,L2,nearest_similarity_p95,0.7579921085632909
l2_unguarded,,L2,predicted_intent_similarity_p50,0.4256415592347099
l2_unguarded,,L2,predicted_intent_similarity_p95,0.7554203794672452
l2_unguarded,,L2,intent_support_margin_p50,0.08073804947130322
l2_unguarded,,L2,intent_support_margin_p95,0.44618606994064663
l2_unguarded,,L2,slot_invalid_bio,212
l1_native,,L1,native_latency_p50_us,0.0
l1_native,,L1,native_latency_p95_us,0.0
l1_program_path,,L1,abstain,2672
l1_benchmark,,L1,status,success
l1_benchmark,,L1,requests,128
l1_benchmark,,L1,accepted,0
l1_benchmark,,L1,accepted_share,0.0
l1_benchmark,,L1,integration_avg_ms,1.441770496967365
l1_benchmark,,L1,integration_p50_ms,0.03554200520738959
l1_benchmark,,L1,integration_p95_ms,0.0739062787033618
l1_benchmark,,L1,native_avg_us,0.0
l1_benchmark,,L1,native_p50_us,0.0
l1_benchmark,,L1,native_p95_us,0.0
l1_benchmark,,L1,native_max_us,0
l1_benchmark,,L1,throughput_qps,691.9660780304921
l1_benchmark,,L1,source_size_bytes,6430
l1_benchmark,,L1,binary_size_bytes,992184
l1_benchmark_path,,L1,abstain,128
l3_observation,,L3,trace_results,2672
l3_observation,,L3,chosen_as_final,0
l3_observation,,L3,failure_rate,0.0
l3_observation,,L3,parse_failure_rate,0.0
l3_observation,,L3,repair_rate,0.0
l3_observation,,L3,would_accept_count,0
l3_observation,,L3,generation_p50_ms,0.0
l3_observation,,L3,generation_p95_ms,0.0
